Lith,depo poro,Athy k,Athy k,Compress. Y Max.,Compress. Y Min.,"Schneider Factor,ka","Schneider Factor,kb","Schneider Factor,£X",Reciprocal Compaction Factor,Vert. Cond.,Anisotr.,Sp. Heat Cap.,Th. Sort. Fac.,Den.,U,Th,K,Radioactive Heat,Perm. Anisotr.,Porosity at point 1,Porosity at point 2,Porosity at point 3,Permeability at Point 1,Permeability at Point 2,Permeability at Point 3,Entry Pr. at Porosity 1%,Entry Pr. at Porosity 25%,aToEntryPr,bToEntryPr
,%,1/km,1/Mpa,1e-7/kPa,1e-7/kPa,1/Mpa,1/Mpa,digit,1/km,W/(mK),,J/(kgK),f,kg/m^3,ppm,ppm,%,£gW/m^3,,%,%,%,log mD,log mD,log mD,Mpa,Mpa,Mpa,digit
Limestone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  ooid grainstone,35.000000,0.010000,0.001000,2.000000,1.000000,0.001000,0.001000,0.180000,,3.000000,1.190000,835.000000,1.110000,2740.000000,1.000000,1.000000,0.200000,0.350000,1.100000,1.000000,15.000000,35.000000,-2.440000,2.600000,3.000000,1.420000,0.080000,1.740000,-0.086000
  Waulsort. mound,16.000000,0.010000,0.001000,2.000000,1.000000,0.001000,0.001000,0.080000,,3.000000,1.190000,835.000000,1.110000,2740.000000,1.000000,1.000000,0.200000,0.350000,1.100000,1.000000,12.000000,16.000000,-2.500000,3.000000,3.350000,1.470000,0.060000,1.940000,-0.120000
  micrite,51.000000,0.520000,0.047660,850.000000,19.800000,0.032120,0.078940,0.260000,,3.000000,1.190000,835.000000,1.110000,2740.000000,1.000000,1.000000,0.200000,0.350000,1.100000,1.000000,25.000000,51.000000,-2.200000,1.000000,1.520000,1.250000,0.260000,1.340000,-0.032000
  shaly,48.000000,0.500000,0.044930,686.500000,18.800000,0.030910,0.070900,0.240000,,2.300000,1.700000,850.000000,1.380000,2730.000000,2.000000,4.000000,1.000000,0.890000,2.000000,1.000000,25.000000,48.000000,-1.990000,0.720000,1.500000,1.110000,0.320000,1.180000,-0.027000
  org.-rich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    typical,51.000000,0.520000,0.049390,881.200000,20.500000,0.033290,0.081850,0.260000,,2.000000,1.950000,845.000000,1.470000,2680.000000,5.000000,1.500000,0.260000,1.400000,2.000000,1.000000,25.000000,51.000000,-1.990000,0.730000,1.000000,1.110000,0.310000,1.180000,-0.027000
    1-2% TOC,51.000000,0.520000,0.048510,865.100000,20.100000,0.032700,0.080370,0.260000,,2.630000,1.400000,840.000000,1.160000,2710.000000,2.500000,1.700000,0.270000,0.790000,1.200000,1.000000,25.000000,51.000000,-1.990000,0.730000,1.000000,1.110000,0.310000,1.180000,-0.027000
    10% TOC,51.000000,0.520000,0.053650,956.800000,22.300000,0.036160,0.088900,0.260000,,1.450000,2.680000,850.000000,1.840000,2550.000000,10.000000,1.400000,0.250000,2.540000,2.000000,1.000000,25.000000,51.000000,-1.990000,0.720000,1.000000,1.110000,0.320000,1.180000,-0.027000
"  chalk,typical",70.000000,0.900000,0.105460,4613.300000,41.600000,0.207930,0.058130,0.350000,,2.900000,1.070000,850.000000,1.000000,2680.000000,1.900000,1.400000,0.250000,0.600000,1.500000,1.000000,25.000000,70.000000,-6.750000,-3.100000,1.000000,15.420000,5.780000,16.780000,-0.037000
"  chalk,95% calcite",70.000000,0.900000,0.105460,4611.200000,41.700000,0.207930,0.058130,0.350000,,3.000000,1.040000,830.000000,1.000000,2680.000000,1.900000,1.400000,0.250000,0.600000,1.500000,1.000000,25.000000,70.000000,-6.750000,-3.100000,1.000000,15.420000,5.780000,16.780000,-0.037000
